Features,Mean,Std,Median
CF;PE;RV;Rho,1.39,0.69,1.11
CF;MOV ;Rho;UN,1.94,1.71,1.14
CF,2.29,3.24,1.14
,1.99,1.8,1.2
CF;EMP;PE;Rho,2.2,1.67,1.24
CF;IR;NYF,4.47,6.14,1.37
CF;NYF,2.75,2.81,1.4
CF;M2;MOV ;Rho,2.1,1.22,1.57
CF;PE;Rho;_LCP,2.53,2.28,1.62
CF;PE;Rho,2.67,1.98,1.62
CF;RV;Rho,2.5,2.2,1.66
CF;MOV ;Rho,2.03,1.51,1.67
CF;Rho,2.32,2.19,1.69
CF;IR;MOV ;Rho,1.95,0.86,1.8
CF;NYF;Rho,2.68,2.2,1.83
CF;NYF;STP,2.87,2.74,1.9
PE,1.86,0.84,1.96
CF;PE,3.61,4.86,1.96
CAPE;CF;RV;Rho,3.69,3.38,2.03
CF;DY;RV;Rho,3.57,3.03,2.07
CAPE;CF,3.19,4.69,2.07
CF;M2;RV;Rho,2.84,2.27,2.08
CF;IR;NYF;RV,3.7,4.53,2.15
CF;NYF;RV,4.69,5.12,2.16
CF;MOV ;PE;Rho,4.93,5.9,2.2
CF;GDP;MOV ;Rho,3.79,3.22,2.22
Rho,3.32,3.07,2.28
CF;DY,3.29,2.08,2.3
CF;MOV ,2.9,2.02,2.34
CAPE,3.46,3.33,2.37
CF;PE;Rho;_DXY,3.79,3.32,2.4
CF;RV,3.79,3.38,2.51
CF;MOV ;RV;Rho,2.78,1.9,2.55
CF;Rho;YSS,3.0,1.96,2.56
CF;IR;MOV ;NYF,3.89,3.12,2.58
CF;RV;Rho;_AU,4.12,3.31,2.73
CF;NYF;_DXY,4.57,6.78,2.76
CF;PE;Rho;YSS,4.75,4.83,2.78
CF;RV;Rho;YSS,2.81,1.73,2.8
CF;ED;MOV ;Rho,3.15,1.91,2.83
CF;ED;PE;Rho,2.76,1.25,2.91
CAPE;CF;Rho,3.98,2.96,3.1
CF;Rho;_OIL,5.09,6.23,3.12
MOV ,4.12,2.69,3.13
CF;ED;IR;NYF,4.03,2.81,3.16
CF;Rho;_DXY,4.37,3.56,3.17
RV,3.86,2.3,3.21
CF;ED;Rho,4.88,3.03,3.37
CAPE;CF;NYF,4.5,3.89,3.46
CF;MOV ;Rho;_DXY,3.43,1.87,3.62
CF;GDP;IR;NYF,5.82,6.4,3.65
CF;MG;RV;Rho,3.91,1.85,3.65
CF;MOV ;NYF,4.21,3.18,3.72
CF;ED;RV;Rho,5.7,5.08,3.74
CF;MOV ;Rho;STP,3.89,1.99,3.78
CF;IR;NYF;_OIL,6.65,6.48,3.97
CF;_OIL,6.58,6.16,4.04
CF;IR;NYF;YSS,4.26,3.04,4.08
CF;NYF;PE,8.63,11.71,4.12
CF;IR;NYF;_DXY,10.6,13.82,4.13
CF;NYF;PE;Rho,9.29,10.79,4.13
CF;RV;Rho;_OIL,6.29,5.54,4.16
CF;GDP;PE;Rho,5.25,4.11,4.18
CF;NYF;YSS,6.45,5.52,4.36
CF;DY;IR;NYF,4.77,2.56,4.57
CAPE;CF;IR;NYF,7.49,7.48,4.83
MG,6.59,5.38,4.9
CF;DIL;PE;Rho,6.66,6.04,5.04
CF;_DXY,5.65,4.93,5.13
CF;YSS,6.69,5.83,5.21
CF;MOV ;Rho;_OIL,8.31,7.63,5.29
YSS,7.22,4.03,5.57
NYF,7.71,5.9,5.87
CF;MOV ;RR;Rho,7.49,5.28,6.13
CF;NYF;_OIL,11.79,11.36,7.15
CF;IR;NYF;PE,17.26,17.68,8.99
_OIL,12.63,5.35,12.16
