Features,Mean,Std,Median
CF;MOV ;_AU;_TY,2.83,2.28,1.45
CF;MOV ;RR,2.2,1.74,1.45
CF;MOV ;STP;_TY,2.46,2.32,1.49
CF;_TY,1.88,1.24,1.49
CF;MOV ;RR;_TY,1.88,1.37,1.49
CF;MOV ;_TY,1.92,1.57,1.55
CF;YSS;_TY,2.78,2.36,1.55
CF;GDP;YSS;_TY,2.66,2.32,1.57
CF;MOV ;RR;UN,2.39,2.06,1.6
CF;M2;MOV ;_TY,3.69,5.85,1.63
CF;NYF;RV;_TY,3.67,3.29,1.64
PE,2.35,1.77,1.66
CF;NYF;_TY,3.49,3.84,1.67
,2.54,1.74,1.83
CF;NYF;YSS;_TY,4.18,5.9,1.84
PE;UN,2.13,1.25,1.87
CF;MOV ;_DXY;_TY,4.4,4.91,1.93
CF;UN;_TY,3.7,3.98,1.99
CF;RV;UN;_TY,3.37,3.06,2.01
CF;PE;UN;_LCP,2.73,1.58,2.06
CF;ED;MOV ;_TY,3.04,2.63,2.06
ED;MOV ;PE;UN,3.52,2.4,2.14
CF;MOV ;RV;UN,2.43,1.0,2.15
CF;MG;YSS;_TY,4.22,3.72,2.15
CF;DIL;YSS;_TY,3.58,3.19,2.16
CF;MOV ;RV;_TY,3.69,4.22,2.17
CF;ED;YSS;_TY,2.97,2.19,2.17
CF;MOV ;UN,2.96,1.9,2.18
CF;UN;_LCP;_TY,5.5,5.4,2.19
CF;MOV ;RR;RV,3.33,2.24,2.26
CF;GDP;MOV ;RR,2.94,2.1,2.3
MOV ;PE;UN,3.51,2.38,2.31
CF;ED;MOV ;UN,2.99,1.64,2.32
PE;RV;UN;_LCP,3.78,2.66,2.36
CF;MOV ;YSS;_TY,4.08,3.72,2.36
CF,3.12,2.55,2.36
CF;UN;_AU;_TY,3.85,3.81,2.37
CF;YSS;_AU;_TY,2.75,1.58,2.37
CF;RV;YSS;_TY,6.11,6.98,2.38
PE;UN;_LCP,3.03,1.47,2.42
CF;NYF;UN;_TY,5.69,8.0,2.43
CF;MOV ;PE;UN,2.56,1.28,2.45
CF;MOV ,2.78,1.47,2.5
CF;NYF;_AU;_TY,2.96,1.66,2.51
CF;ED;MOV ;RR,3.66,3.2,2.52
CF;DIL;NYF;_TY,6.32,9.82,2.55
CF;IR,3.91,4.55,2.57
CF;Y02,3.92,3.09,2.58
CF;MOV ;NYF;_TY,5.35,5.74,2.59
CF;PE;UN,2.72,1.47,2.7
MOV ,3.14,2.32,2.7
UN,3.63,2.01,2.7
CF;MOV ;PE;RR,4.05,5.24,2.71
CF;ED;UN;_TY,3.4,3.1,2.75
CF;MOV ;UN;_TY,4.93,4.96,2.82
CF;M2;MOV ,3.92,2.34,2.86
MOV ;PE;UN;_AU,4.26,3.14,2.9
CAPE;CF,3.65,2.99,2.91
MOV ;PE;RV;UN,3.08,2.02,2.91
PE;RV;UN,3.35,2.12,2.92
CF;DIL;_TY,4.5,4.32,2.94
CF;DIL;UN;_TY,4.89,5.5,2.96
CF;ED;_TY,5.3,4.54,2.97
CF;M2;MOV ;UN,3.66,1.98,2.97
CF;M2;MOV ;RR,3.32,1.45,3.01
CF;M2;YSS;_TY,4.2,2.97,3.03
CF;GDP;NYF;_TY,4.79,4.23,3.03
CF;RV,3.97,3.53,3.05
MOV ;PE,3.32,1.52,3.07
CF;_AU;_TY,4.28,3.8,3.16
CF;RV;_TY,4.28,3.43,3.16
EMP;PE;UN;_LCP,3.83,2.31,3.2
MOV ;PE;UN;_LCP,5.18,5.16,3.26
PE;Rho;UN,3.7,1.9,3.35
CF;MOV ;RV,3.85,2.38,3.36
CF;UN;_DXY;_TY,5.08,4.2,3.39
CF;UN;YSS;_TY,5.53,5.08,3.4
PE;UN;_DXY;_LCP,3.79,2.23,3.41
CF;EMP;UN;_TY,4.46,4.32,3.45
CF;MOV ;PE;_TY,5.34,3.67,3.46
PE;UN;_AU,3.97,1.94,3.48
CF;GDP;_TY,5.28,4.25,3.53
IR;PE,4.63,3.19,3.56
CF;ED;MOV ,4.78,2.95,3.57
CAPE,3.87,2.02,3.58
CF;_DXY;_TY,5.14,4.35,3.61
MOV ;PE;UN;_DXY,3.81,2.05,3.64
CF;_DXY,4.65,2.94,3.64
CPI;MOV ;PE;UN,3.98,2.7,3.67
CF;MOV ;UN;YSS,4.76,2.94,3.67
PE;_DXY,3.56,1.48,3.75
CF;Y10,4.54,2.85,3.77
PE;YSS,4.88,3.38,3.86
NYF,5.14,4.16,3.95
CF;NYF;_DXY;_TY,6.84,6.05,3.98
CF;GDP;MOV ;_TY,4.83,3.83,4.0
PE;UN;_DXY,6.06,4.0,4.06
DIL;MOV ;PE;UN,4.06,1.18,4.08
CF;DY;MOV ;UN,5.26,2.69,4.1
DIL;PE;UN,4.46,1.7,4.16
CF;MOV ;RR;_DXY,5.23,3.19,4.24
CF;YSS,7.56,6.81,4.24
CF;PE,6.33,5.35,4.31
CF;NYF;_LCP;_TY,7.92,7.07,4.32
Rho,6.72,5.25,4.64
PE;RV,5.3,2.61,4.71
CAPE;CF;MOV ;UN,4.32,1.67,4.71
CF;ED;NYF;_TY,5.56,4.25,4.8
CF;MOV ;RR;_AU,5.89,4.5,4.87
CF;MOV ;_DXY,5.9,3.19,4.89
YSS,7.4,5.97,4.92
