Features,Mean,Std,Median
CF;MOV ;UN;_DXY,6.43,3.53,5.22
CF;MG;MOV ;UN,7.25,5.72,5.33
NYF;PE;UN;_LCP,7.98,6.2,5.4
PE;UN;YSS,6.55,4.11,5.49
PE;UN;_LCP;_OIL,5.89,2.05,5.7
PE;UN;YSS;_LCP,6.78,4.63,5.8
MG;MOV ;PE;UN,8.66,5.74,6.09
MOV ;PE;UN;YSS,6.2,4.71,6.23
CF;YSS;_DXY;_TY,10.03,12.32,7.22
MG;PE;UN;_LCP,9.46,5.85,7.72
DIL;PE;UN;_LCP,8.0,4.34,7.72
GDP,9.26,6.61,7.88
NYF;PE,12.51,12.36,8.36
PE;Rho,8.8,5.81,8.85
MG,10.48,5.3,9.44
MG;PE,10.26,3.79,9.68
MOV ;NYF;PE;UN,12.32,7.51,11.78
NYF;PE;UN,13.75,7.09,13.56
