Model,Window Size,Look Ahead,Indexed,MSE Train,MAE Train,MSE Test,MAE Test,Exp Train,Std Train,IC Train,Exp Test,Std Test,IC Test,Sharp Ratio Train,Sharp Ratio Test
CNN,52,13,False,0.001460638246499002,0.029463477432727814,0.024802658706903458,0.1345464587211609,0.27309256765237233,0.3287101713067228,0.8645498301389976,-0.07232532504167298,0.31962180193531015,-0.007799840443866062,0.8308004786306016,-0.22628407888242638
MLP,52,13,True,1.7543483972549438,1.1051627397537231,15.482731819152832,2.8737452030181885,0.01229849739462737,0.0923496778209756,0.07891789097937296,0.0067704487772527935,0.10477084008933091,0.1891734770397332,0.13317314889250195,0.06462149937406339
MLP,52,13,False,0.003632079577073455,0.04489254578948021,0.012562709860503674,0.09145332127809525,0.2390795301443648,0.3493443349889675,0.6247564931402949,-0.08340697674520586,0.3133224764011938,-0.27438981309944865,0.6843664150211999,-0.26620170280541056
LSTM,52,13,True,0.37549641728401184,0.49291321635246277,214.42349243164062,13.192789077758789,0.0009622783988017409,0.09364475922898044,0.07783982905542183,-0.006409444654896108,0.10506795388027407,0.12064984245863919,0.010275838250048516,-0.06100285023347586
LSTM,52,13,False,0.0059102848172187805,0.056391641497612,0.00912296213209629,0.07982723414897919,0.17379398530316298,0.3581891693011439,0.21222937366293176,-0.09666184826090819,0.3088516999197579,-0.3093197602267136,0.485201676092689,-0.31297172165806986
CNN,52,52,True,0.2309088110923767,0.3691090941429138,32.05048751831055,4.192485332489014,0.002128370371116888,0.023260428270936995,0.10995494225099124,0.0003173715660716271,0.025732364359828234,0.07390793395082207,0.09150177057471486,0.012333556358586616
CNN,52,52,False,0.004139753524214029,0.04918265715241432,0.06710325181484222,0.19881314039230347,0.17655423216572722,0.10937898542705628,0.9510593997754208,0.1345069352933701,0.15575192778176836,0.1752605194888317,1.6141513059057346,0.8635972421595599
MLP,52,52,True,2.8506598472595215,1.3650988340377808,75.5923843383789,6.726260662078857,0.0020679600278338396,0.0232658768394259,0.09695181371949818,-0.0002996548528259826,0.02573257677006108,0.10316743831859906,0.08888382080358626,-0.011644960996468109
MLP,52,52,False,0.004053029231727123,0.04949014261364937,0.048144351691007614,0.1554035246372223,0.17506291404847177,0.11175032650305361,0.9422680913102959,0.09808170589360785,0.18091643822149456,-0.2996537675984241,1.5665539379313413,0.5421381653198766
LSTM,52,52,True,2.45580792427063,1.1826239824295044,270.5538024902344,13.467354774475098,2.3469727977408852e-05,0.02335758833775272,-0.01970635677964332,-0.0026010506280328785,0.025602535731609064,0.055419251151224036,0.0010048009939225995,-0.10159347711881538
LSTM,52,52,False,0.03095659799873829,0.13920006155967712,0.07374940812587738,0.19573278725147247,0.13063301660215168,0.16146260967203416,0.6632715505447618,-0.0122801200189489,0.2054263305958422,0.23493183139384716,0.8090604807360409,-0.05977870501473801
