Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
10.05.1998;0.13221224057116600;27.00000000000000000;37.58000000000000000;1.46000000000000000;0.11500000000000000;83.10000000000000000;5.10700000000000000;1.56800000000000000;5.56100000000000000;5.70300000000000000;0.14200000000000000;0.15780590717299600;-0.02185792349726780;0.13880572330114900;0.14227715930349800;-0.15686274509803900;0.04855512237957990;0.06788754191385090;0.02132120719705410;0.04046823494229640;0.04300600000000000;6.18705078800000000;299.85000000000000000;99.05000000000000000;1762.25000000000000000;223.92500000000000000;15.13000000000000000;2634.00000000000000000;4470.82000000000000000;3010.53900000000000000
17.05.1998;0.13221224057116600;26.90000000000000000;37.41300000000000000;1.46000000000000000;0.12000000000000000;76.20000000000000000;5.15200000000000000;1.66300000000000000;5.57800000000000000;5.71100000000000000;0.13300000000000000;0.06567630961688820;-0.02185792349726780;0.13876323687995700;0.14224671923798800;-0.10204081632653100;0.04092766771496060;0.07076005348143570;0.02187193407024670;0.04289015463544370;0.01483200000000000;6.70959577300000000;300.45000000000000000;99.92000000000000000;1727.10000000000000000;224.02300000000000000;14.48000000000000000;2625.72000000000000000;4470.82000000000000000;3010.53900000000000000
24.05.1998;0.13221224057116600;26.90000000000000000;37.43400000000000000;1.46000000000000000;0.12800000000000000;73.20000000000000000;5.19200000000000000;1.66300000000000000;5.57700000000000000;5.63900000000000000;0.06200000000000030;0.06567630961688820;-0.02185792349726780;0.13880871783860300;0.14228397448463000;-0.10204081632653100;0.04092766771496060;0.07076005348143570;0.02187193407024670;0.04517230202477270;0.02267600000000000;6.70959577300000000;300.35000000000000000;99.08000000000000000;1680.50000000000000000;225.45300000000000000;14.63000000000000000;2630.67000000000000000;4470.82000000000000000;3010.53900000000000000
31.05.1998;0.13265404237244600;26.50000000000000000;36.82000000000000000;1.48000000000000000;0.10000000000000000;74.30000000000000000;5.00700000000000000;1.66300000000000000;5.52400000000000000;5.58000000000000000;0.05600000000000000;0.06567630961688820;-0.02319236016371070;0.13907949447174700;0.14140924255807000;-0.10204081632653100;0.04092766771496060;0.07076005348143570;0.02187193407024670;0.04690126441420440;0.03371900000000000;6.70959577300000000;293.95000000000000000;100.45000000000000000;1694.00000000000000000;226.67200000000000000;15.20000000000000000;2590.97000000000000000;4367.38100000000000000;2960.64800000000000000
07.06.1998;0.12781933987002000;27.00000000000000000;37.51500000000000000;1.45000000000000000;0.07900000000000000;75.20000000000000000;5.08000000000000000;1.66300000000000000;5.54600000000000000;5.57600000000000000;0.02999999999999940;0.06567630961688820;-0.02054794520547940;0.13840601347579400;0.14274349095254200;-0.10204081632653100;0.04092766771496060;0.07076005348143570;0.02187193407024670;0.04723054962139980;0.04159000000000000;6.70959577300000000;292.05000000000000000;100.14000000000000000;1683.00000000000000000;226.49100000000000000;15.08000000000000000;2646.57000000000000000;4367.38100000000000000;2960.64800000000000000
14.06.1998;0.12787400786848500;26.60000000000000000;36.91600000000000000;1.47000000000000000;0.06300000000000000;75.80000000000000000;5.08000000000000000;1.66300000000000000;5.39300000000000000;5.40800000000000000;0.01500000000000060;0.04926866820631260;-0.02054794520547940;0.13836239217516000;0.14270118216346800;-0.12000000000000000;0.04092766771496060;0.06615463389656930;0.02067028157052330;0.04788273105575720;0.02571100000000000;6.70959577300000000;286.05000000000000000;101.89000000000000000;1676.35000000000000000;229.61200000000000000;12.58000000000000000;2607.75000000000000000;4367.38100000000000000;2960.64800000000000000
21.06.1998;0.12938154741939300;26.60000000000000000;37.01400000000000000;1.47000000000000000;0.02700000000000000;78.60000000000000000;5.14000000000000000;1.67300000000000000;5.47700000000000000;5.46900000000000000;-0.00800000000000001;0.06389530408006140;-0.01917808219178070;0.13939161948403900;0.14435493442226100;-0.10000000000000000;0.04092766771496060;0.07119815668202770;0.02243418044032140;0.04853703243627080;0.05116000000000000;7.52866369100000000;299.35000000000000000;100.12000000000000000;1679.50000000000000000;228.79800000000000000;11.83000000000000000;2618.20000000000000000;4367.38100000000000000;2960.64800000000000000
28.06.1998;0.12938154741939300;27.40000000000000000;38.06900000000000000;1.43000000000000000;0.01000000000000000;76.50000000000000000;4.98600000000000000;1.67300000000000000;5.51100000000000000;5.44400000000000000;-0.06700000000000020;0.06389530408006140;-0.01917808219178070;0.13932689739172400;0.14431087748110300;-0.10000000000000000;0.04092766771496060;0.07119815668202770;0.02243418044032140;0.04812580439151380;0.02801100000000000;7.52866369100000000;293.25000000000000000;101.59000000000000000;1625.50000000000000000;229.46000000000000000;14.13000000000000000;2696.33000000000000000;4367.38100000000000000;2960.64800000000000000
05.07.1998;0.13004224011239400;27.70000000000000000;38.47700000000000000;1.41000000000000000;0.00600000000000000;70.40000000000000000;4.97900000000000000;1.67300000000000000;5.40400000000000000;5.40300000000000000;-0.00100000000000033;0.06389530408006140;-0.02452316076294270;0.13964623163619300;0.14483104073948900;-0.10000000000000000;0.04092766771496060;0.07119815668202770;0.02243418044032140;0.04750882488984100;0.01403000000000000;7.52866369100000000;294.75000000000000000;101.98000000000000000;1599.50000000000000000;230.40300000000000000;14.50000000000000000;2732.05000000000000000;4409.44700000000000000;3188.70500000000000000
12.07.1998;0.13004224011239400;28.20000000000000000;39.00000000000000000;1.39000000000000000;0.00500000000000000;74.20000000000000000;5.03800000000000000;1.67300000000000000;5.38700000000000000;5.40300000000000000;0.01600000000000000;0.06389530408006140;-0.02452316076294270;0.13967479273414600;0.14485687049691200;-0.10000000000000000;0.04092766771496060;0.07119815668202770;0.02243418044032140;0.04592296692365070;0.01751600000000000;7.52866369100000000;291.05000000000000000;102.09000000000000000;1584.85000000000000000;230.64300000000000000;13.88000000000000000;2772.59000000000000000;4409.44700000000000000;3188.70500000000000000
19.07.1998;0.13004224011239400;28.30000000000000000;39.54300000000000000;1.38000000000000000;-0.01100000000000000;74.90000000000000000;5.12100000000000000;1.67300000000000000;5.43800000000000000;5.50100000000000000;0.06300000000000060;0.08630245447347580;-0.02452316076294270;0.13980455535932800;0.14495620143551400;-0.08163265306122460;0.04092766771496060;0.07133209307066960;0.02239438640424660;0.04579423280094460;0.01270300000000000;11.74946830700000000;294.05000000000000000;100.58000000000000000;1681.25000000000000000;229.19700000000000000;13.98000000000000000;2814.59000000000000000;4409.44700000000000000;3188.70500000000000000
26.07.1998;0.13004224011239400;27.40000000000000000;38.05600000000000000;1.44000000000000000;-0.02700000000000000;63.60000000000000000;5.06900000000000000;1.67300000000000000;5.43800000000000000;5.44300000000000000;0.00499999999999989;0.08630245447347580;-0.02452316076294270;0.13992653781327500;0.14504880020752000;-0.08163265306122460;0.04092766771496060;0.07133209307066960;0.02239438640424660;0.04565513399464470;0.03279900000000000;11.74946830700000000;292.45000000000000000;100.70000000000000000;1759.50000000000000000;230.42100000000000000;13.78000000000000000;2712.06000000000000000;4409.44700000000000000;3188.70500000000000000
02.08.1998;0.13021133157092800;26.50000000000000000;37.21100000000000000;1.48000000000000000;-0.04900000000000000;57.90000000000000000;5.06900000000000000;1.67300000000000000;5.45600000000000000;5.49700000000000000;0.04099999999999950;0.08630245447347580;-0.02182810368349250;0.13965592908269600;0.14508947801098800;-0.08163265306122460;0.04092766771496060;0.07133209307066960;0.02239438640424660;0.04524002529691430;0.03270000000000000;11.74946830700000000;288.55000000000000000;101.20000000000000000;1679.75000000000000000;229.74800000000000000;14.23000000000000000;2655.19000000000000000;4347.58600000000000000;3170.83400000000000000
09.08.1998;0.12941412445880700;25.70000000000000000;36.23600000000000000;1.51000000000000000;-0.05900000000000000;62.40000000000000000;4.99100000000000000;1.67300000000000000;5.29500000000000000;5.39300000000000000;0.09799999999999990;0.08630245447347580;-0.02182810368349250;0.13903014839522600;0.14505530909911800;-0.08163265306122460;0.04092766771496060;0.07133209307066960;0.02239438640424660;0.04428622643277970;0.05351600000000000;11.74946830700000000;286.05000000000000000;101.49000000000000000;1633.25000000000000000;231.74500000000000000;13.80000000000000000;2592.07000000000000000;4347.58600000000000000;3170.83400000000000000
16.08.1998;0.12941412445880700;25.10000000000000000;35.34200000000000000;1.55000000000000000;-0.07700000000000000;72.60000000000000000;5.01700000000000000;1.57100000000000000;5.31100000000000000;5.38900000000000000;0.07800000000000030;0.04310344827586210;-0.02182810368349250;0.13890547014415100;0.14495673210818000;-0.06250000000000000;0.04103451743262920;0.06855511194218410;0.02474060169977600;0.04176126220198210;0.05367000000000000;11.92058715600000000;284.25000000000000000;102.43000000000000000;1607.55000000000000000;232.05600000000000000;13.35000000000000000;2531.42000000000000000;4347.58600000000000000;3170.83400000000000000
23.08.1998;0.12945017321891400;25.30000000000000000;35.73500000000000000;1.53000000000000000;-0.07600000000000000;89.10000000000000000;4.99600000000000000;1.57100000000000000;5.20800000000000000;5.31900000000000000;0.11100000000000000;0.04310344827586210;-0.02182810368349250;0.13889307495662000;0.14495291198148100;-0.06250000000000000;0.04103451743262920;0.06855511194218410;0.02474060169977600;0.04324009772425600;0.05264000000000000;11.92058715600000000;285.45000000000000000;102.18000000000000000;1614.50000000000000000;233.49100000000000000;13.23000000000000000;2562.88000000000000000;4347.58600000000000000;3170.83400000000000000
30.08.1998;0.12921010851142900;24.10000000000000000;33.92700000000000000;1.62000000000000000;-0.12500000000000000;103.60000000000000000;4.86200000000000000;1.57100000000000000;4.94800000000000000;5.07900000000000000;0.13099999999999900;0.04310344827586210;-0.01915184678522560;0.13896047773682500;0.14551482703830300;-0.06250000000000000;0.04103451743262920;0.06855511194218410;0.02474060169977600;0.04466508637891310;0.09081400000000000;11.92058715600000000;275.15000000000000000;100.13000000000000000;1652.50000000000000000;237.87700000000000000;13.50000000000000000;2436.38000000000000000;4347.58600000000000000;3170.83400000000000000
06.09.1998;0.12969082344039100;22.80000000000000000;32.02400000000000000;1.71000000000000000;-0.24100000000000000;102.60000000000000000;4.84500000000000000;1.57100000000000000;4.90000000000000000;5.00600000000000000;0.10600000000000000;0.04310344827586210;-0.01917808219178070;0.13928427548161200;0.14434243019904500;-0.06250000000000000;0.04103451743262920;0.06855511194218410;0.02474060169977600;0.04457578026841590;0.10753200000000000;11.92058715600000000;285.35000000000000000;98.20000000000000000;1653.75000000000000000;239.38300000000000000;14.58000000000000000;2305.58000000000000000;3664.45300000000000000;2783.21000000000000000
13.09.1998;0.12969082344039100;23.40000000000000000;32.83800000000000000;1.67000000000000000;-0.24000000000000000;120.10000000000000000;4.85600000000000000;1.57100000000000000;4.67800000000000000;4.82700000000000000;0.14900000000000000;0.04310344827586210;-0.01513067400275090;0.13499357751741900;0.14183467135367900;-0.06250000000000000;0.04103451743262920;0.06855511194218410;0.02474060169977600;0.04359089127778760;0.13333600000000000;11.92058715600000000;293.45000000000000000;96.50000000000000000;1669.75000000000000000;242.78500000000000000;14.33000000000000000;2367.39000000000000000;3664.45300000000000000;2783.21000000000000000
